,bbm_id,Name,Status,bbm_abr_2018,Conf,Pos,Age,g,Date,m,player_id,carmelo,pipm,espn,oRPM,dRPM,oPIPM,dPIPM,xORPM,xDRPM,oKPM,dKPM,bbm_abr_2019,tenure,MP,new_coach,USG,oRL,dRL,same_team,o_regress,d_regress
37,5046,Josh Richardson,,MIA,3.0,PG/SG,25.1,78.0,43386,2496.0,/players/r/richajo01.html,Josh Richardson,Josh Richardson,Josh Richardson,-0.2,0.6,-0.78,0.92,0.76,0.5,0.02999999999999997,0.602,MIA,3.0,2816.9,0.0,18.2,-0.9,-0.9,True,1.0,1.0
38,3006,DeMar DeRozan,Bust CandidateNew Team,SAS,3.0,SG/SF,29.2,79.5,43386,2663.5,/players/d/derozde01.html,DeMar DeRozan,DeMar DeRozan,DeMar DeRozan,2.4,-1.5,1.53,-1.93,2.64,-2.18,1.6695,-1.5723,TOR,9.0,3081.6,1.0,29.6,-1.25,-0.5,False,0.7,0.9
39,3723,C.J. McCollum,,POR,5.0,PG/SG,27.1,81.0,43389,2916.0,/players/m/mccolcj01.html,CJ McCollum,C.J. McCollum,CJ McCollum,2.1,-1.8,1.17,-0.72,2.2,-1.58,2.037,-1.6260000000000001,POR,5.0,3073.0,0.0,26.5,-0.9,-0.9,True,1.0,1.0
40,5658,Luka Doncic,,DAL,3.0,PG/SG/SF,19.6,77.0,43385,2464.0,/players/d/doncilu01.html,Luka Doncic,Luka Doncic,Luka Doncic,-1.0,-1.2,1.32,-0.91,-1.0,-1.2,-0.7679999999999999,-1.171,,,0.0,,,,,True,1.0,1.0
41,3409,Nikola Mirotic,Position BattleUnrestricted Free Agent,NOR,3.0,SF/PF,27.7,73.0,43388,2226.0,/players/m/mirotni01.html,Nikola Mirotic,Nikola Mirotic,Nikola Mirotic,0.7,0.8,1.12,-0.01,2.11,1.25,0.8155,0.7686,,4.0,1812.5,,23.4,-1.4,0.05,False,0.7,0.9
42,3487,Draymond Green,,GSW,4.0,PF/C,28.6,75.0,43388,2475.0,/players/g/greendr01.html,Draymond Green,Draymond Green,Draymond Green,0.9,3.4,0.61,2.9,0.98,4.91,0.895,3.803,GSW,6.0,3101.3,0.0,17.2,-1.55,0.8,True,1.0,1.0
43,5450,Jayson Tatum,,BOS,3.0,SF/PF,20.6,78.5,43386,2473.5,/players/t/tatumja01.html,Jayson Tatum,Jayson Tatum,Jayson Tatum,1.2,1.7,1.14,2.04,1.7,2.5,1.3439999999999999,1.974,BOS,1.0,3125.6,0.0,19.5,-1.4,0.05,True,1.0,1.0
44,3374,Enes Kanter,Unrestricted Free Agent,NYK,4.0,C,26.4,73.0,43389,2007.0,/players/k/kanteen01.html,Enes Kanter,Enes Kanter,Enes Kanter,0.6,-0.2,0.41,-0.93,1.25,-1.09,0.5432,-0.48600000000000004,NYK,7.0,1831.2,1.0,21.8,-1.7,1.3,False,0.7,0.9
45,2722,Marc Gasol,Player Option,MEM,3.0,C,33.7,72.5,43389,2357.0,/players/g/gasolma01.html,Marc Gasol,Marc Gasol,Marc Gasol,-0.7,1.8,-0.22,0.63,-0.22,1.52,-0.508,1.599,MEM,10.0,2409.4,0.0,25.6,-1.7,1.3,True,1.0,1.0
46,3399,Klay Thompson,Unrestricted Free Agent,GSW,4.0,SG/SF,28.7,76.5,43388,2562.5,/players/t/thompkl01.html,Klay Thompson,Klay Thompson,Klay Thompson,1.6,-1.1,1.77,-0.36,1.83,0.24,1.686,-0.6240000000000001,GSW,7.0,3283.2,0.0,23.7,-1.25,-0.5,True,1.0,1.0
