bbm_id,bbm_name,spotrac,espn,bref,pipm,player_id,Draft,carmelo
3563,Kyle O'Quinn,Kyle O'Quinn,Kyle O'Quinn,Kyle O'Quinn,Kyle O'Quinn,/players/o/oquinky01.html,2012 (Pick 49),Kyle O'Quinn
1807,Kyle Korver,Kyle Korver,Kyle Korver,Kyle Korver,Kyle Korver,/players/k/korveky01.html,2003 (Pick 51),Kyle Korver
3672,Mike Muscala,Mike Muscala,Mike Muscala,Mike Muscala,Mike Muscala,/players/m/muscami01.html,2013 (Pick 44),Mike Muscala
3159,Ed Davis,Ed Davis,Ed Davis,Ed Davis,Ed Davis,/players/d/davised01.html,2010 (Pick 13),Ed Davis
3713,Andre Roberson,Andre Roberson,Andre Roberson,Andre Roberson,Andre Roberson,/players/r/roberan03.html,2013 (Pick 26),Andre Roberson
5351,Skal Labissiere,Skal Labissiere,Skal Labissiere,Skal Labissiere,Skal Labissiere,/players/l/labissk01.html,2016 (Pick 28),Skal Labissiere
5693,Shai Gilgeous-Alexander,Shai Gilgeous-Alexander,Shai Gilgeous-Alexander,Shai Gilgeous-Alexander,Shai Gilgeous-Alexander,/players/g/gilgesh01.html,2018 (Pick 11),Shai Gilgeous-Alexander
5491,Dillon Brooks,Dillon Brooks,Dillon Brooks,Dillon Brooks,Dillon Brooks,/players/b/brookdi01.html,2017 (Pick 45),Dillon Brooks
5373,Yogi Ferrell,Yogi Ferrell,Yogi Ferrell,Yogi Ferrell,Yogi Ferrell,/players/f/ferreyo01.html,2016,Yogi Ferrell
3107,Greg Monroe,Greg Monroe,Greg Monroe,Greg Monroe,Greg Monroe,/players/m/monrogr01.html,2010 (Pick 7),Greg Monroe
3355,MarShon Brooks,MarShon Brooks,MarShon Brooks,MarShon Brooks,MarShon Brooks,/players/b/brookma01.html,2011 (Pick 25),
5093,Jonathon Simmons,Jonathon Simmons,Jonathon Simmons,Jonathon Simmons,Jonathon Simmons,/players/s/simmojo02.html,,Jonathon Simmons
5057,Justise Winslow,Justise Winslow,Justise Winslow,Justise Winslow,Justise Winslow,/players/w/winslju01.html,2015 (Pick 10),Justise Winslow
5011,Jerian Grant,Jerian Grant,Jerian Grant,Jerian Grant,Jerian Grant,/players/g/grantje02.html,2015 (Pick 19),Jerian Grant
5677,Collin Sexton,Collin Sexton,Collin Sexton,Collin Sexton,Collin Sexton,/players/s/sextoco01.html,2018 (Pick 8),Collin Sexton
5457,Zach Collins,Zach Collins,Zach Collins,Zach Collins,Zach Collins,/players/c/colliza01.html,2017 (Pick 10),Zach Collins
2844,Courtney Lee,Courtney Lee,Courtney Lee,Courtney Lee,Courtney Lee,/players/l/leeco01.html,2008 (Pick 22),Courtney Lee
2710,Wilson Chandler,Wilson Chandler,Wilson Chandler,Wilson Chandler,Wilson Chandler,/players/c/chandwi01.html,2007 (Pick 23),Wilson Chandler
2847,Robin Lopez,Robin Lopez,Robin Lopez,Robin Lopez,Robin Lopez,/players/l/lopezro01.html,2008 (Pick 15),Robin Lopez
3910,Jordan Clarkson,Jordan Clarkson,Jordan Clarkson,Jordan Clarkson,Jordan Clarkson,/players/c/clarkjo01.html,2014 (Pick 46),Jordan Clarkson
3620,Dion Waiters,Dion Waiters,Dion Waiters,Dion Waiters,Dion Waiters,/players/w/waitedi01.html,2012 (Pick 4),Dion Waiters
2705,Marco Belinelli,Marco Belinelli,Marco Belinelli,Marco Belinelli,Marco Belinelli,/players/b/belinma01.html,2007 (Pick 18),Marco Belinelli
5711,Mohamed Bamba,Mohamed Bamba,Mohamed Bamba,Mohamed Bamba,Mohamed Bamba,/players/b/bambamo01.html,2018 (Pick 6),Mohamed Bamba
3225,Ish Smith,Ishmael Smith,Ish Smith,Ish Smith,Ish Smith,/players/s/smithis01.html,,Ish Smith
5461,Bam Adebayo,Edrice Adebayo,Bam Adebayo,Bam Adebayo,Bam Adebayo,/players/a/adebaba01.html,2017 (Pick 14),Bam Adebayo
1787,Dwyane Wade,Dwyane Wade,Dwyane Wade,Dwyane Wade,Dwyane Wade,/players/w/wadedw01.html,2003 (Pick 5),Dwyane Wade
2129,Zaza Pachulia,Zaza Pachulia,Zaza Pachulia,Zaza Pachulia,Zaza Pachulia,/players/p/pachuza01.html,2003 (Pick 42),Zaza Pachulia
2857,Derrick Rose,Derrick Rose,Derrick Rose,Derrick Rose,Derrick Rose,/players/r/rosede01.html,2008 (Pick 1),Derrick Rose
3993,Tyler Johnson,Tyler Johnson,Tyler Johnson,Tyler Johnson,Tyler Johnson,/players/j/johnsty01.html,,Tyler Johnson
5040,Cameron Payne,Cameron Payne,Cameron Payne,Cameron Payne,Cameron Payne,/players/p/payneca01.html,2015 (Pick 14),Cameron Payne
3076,Garrett Temple,Garrett Temple,Garrett Temple,Garrett Temple,Garrett Temple,/players/t/templga01.html,,Garrett Temple
2439,Gerald Green,Gerald Green,Gerald Green,Gerald Green,Gerald Green,/players/g/greenge01.html,2005 (Pick 18),Gerald Green
5021,Richaun Holmes,Richaun Holmes,Richaun Holmes,Richaun Holmes,Richaun Holmes,/players/h/holmeri01.html,2015 (Pick 37),Richaun Holmes
5662,Kevin Huerter,Kevin Huerter,Kevin Huerter,Kevin Huerter,Kevin Huerter,/players/h/huertke01.html,2018 (Pick 19),Kevin Huerter
3387,Marcus Morris,Marcus Morris,Marcus Morris,Marcus Morris,Marcus Morris,/players/m/morrima03.html,2011 (Pick 14),Marcus Morris
3147,Evan Turner,Evan Turner,Evan Turner,Evan Turner,Evan Turner,/players/t/turneev01.html,2010 (Pick 2),Evan Turner
2850,Luc Mbah a Moute,Luc Richard Mbah a Moute,Luc Mbah a Moute,Luc Mbah a Moute,Luc Mbah a Moute,/players/m/mbahalu01.html,2008 (Pick 37),Luc Mbah a Moute
3040,Patty Mills,Patrick Mills,Patty Mills,Patty Mills,Patty Mills,/players/m/millspa02.html,2009 (Pick 55),Patty Mills
5434,Ante Zizic,Ante Zizic,Ante Zizic,Ante Zizic,Ante Zizic,/players/z/zizican01.html,2016 (Pick 23),Ante Zizic
3506,Justin Holiday,Justin Holiday,Justin Holiday,Justin Holiday,Justin Holiday,/players/h/holidju01.html,,Justin Holiday
5489,Isaiah Hartenstein,Isaiah Hartenstein,Isaiah Hartenstein,Isaiah Hartenstein,Isaiah Hartenstein,/players/h/harteis01.html,2018 (Pick 43),
3586,Tomas Satoransky,Tomas Satoransky,Tomas Satoransky,Tomas Satoransky,Tomas Satoransky,/players/s/satorto01.html,2012 (Pick 32),Tomas Satoransky
5475,Derrick White,Derrick White,Derrick White,Derrick White,Derrick White,/players/w/whitede01.html,2017 (Pick 29),Derrick White
3675,Mason Plumlee,Mason Plumlee,Mason Plumlee,Mason Plumlee,Mason Plumlee,/players/p/plumlma01.html,2013 (Pick 22),Mason Plumlee
3549,Salah Mejri,Salah Mejri,Salah Mejri,Salah Mejri,Salah Mejri,/players/m/mejrisa01.html,,Salah Mejri
4049,Daniel Theis,Daniel Theis,Daniel Theis,Daniel Theis,Daniel Theis,/players/t/theisda01.html,,Daniel Theis
5492,Sterling Brown,Sterling Brown,Sterling Brown,Sterling Brown,Sterling Brown,/players/b/brownst02.html,2017 (Pick 46),Sterling Brown
3352,Davis Bertans,Davis Bertans,Davis Bertans,Davis Bertans,Davis Bertans,/players/b/bertada01.html,2011 (Pick 42),Davis Bertans
2448,Amir Johnson,Amir Johnson,Amir Johnson,Amir Johnson,Amir Johnson,/players/j/johnsam01.html,2005 (Pick 56),Amir Johnson
5466,Harry Giles,Harry Giles,Harry Giles,Harry Giles,Harry Giles,/players/g/gilesha01.html,2018 (Pick 20),Harry Giles
1983,Zach Randolph,Zach Randolph,Zach Randolph,Zach Randolph,Zach Randolph,/players/r/randoza01.html,2001 (Pick 19),Zach Randolph
3391,Chandler Parsons,Chandler Parsons,Chandler Parsons,Chandler Parsons,Chandler Parsons,/players/p/parsoch01.html,2011 (Pick 38),Chandler Parsons
3413,Lance Thomas,Lance Thomas,Lance Thomas,Lance Thomas,Lance Thomas,/players/t/thomala01.html,,Lance Thomas
3575,Austin Rivers,Austin Rivers,Austin Rivers,Austin Rivers,Austin Rivers,/players/r/riverau01.html,2012 (Pick 10),Austin Rivers
3360,Kenneth Faried,Kenneth Faried,Kenneth Faried,Kenneth Faried,Kenneth Faried,/players/f/farieke01.html,2011 (Pick 22),Kenneth Faried
3704,Gorgui Dieng,Gorgui Dieng,Gorgui Dieng,Gorgui Dieng,Gorgui Dieng,/players/d/dienggo01.html,2013 (Pick 21),Gorgui Dieng
3373,Cory Joseph,Cory Joseph,Cory Joseph,Cory Joseph,Cory Joseph,/players/j/josepco01.html,2011 (Pick 29),Cory Joseph
2307,Devin Harris,Devin Harris,Devin Harris,Devin Harris,Devin Harris,/players/h/harride01.html,2004 (Pick 5),Devin Harris
5663,Omari Spellman,Omari Spellman,Omari Spellman,Omari Spellman,Omari Spellman,/players/s/spellom01.html,2018 (Pick 30),Omari Spellman
5715,Elie Okobo,Élie Okobo,Élie Okobo,Elie Okobo,Elie Okobo,/players/o/okoboel01.html,2018 (Pick 31),Elie Okobo
5001,Justin Anderson,Justin Anderson,Justin Anderson,Justin Anderson,Justin Anderson,/players/a/anderju01.html,2015 (Pick 21),Justin Anderson
2461,C.J. Miles,C.J. Miles,CJ Miles,C.J. Miles,C.J. Miles,/players/m/milescj01.html,2005 (Pick 34),CJ Miles
2083,Tyson Chandler,Tyson Chandler,Tyson Chandler,Tyson Chandler,Tyson Chandler,/players/c/chandty01.html,2001 (Pick 2),Tyson Chandler
2774,Anthony Tolliver,Anthony Tolliver,Anthony Tolliver,Anthony Tolliver,Anthony Tolliver,/players/t/tollian01.html,2007,Anthony Tolliver
5687,De'Anthony Melton,De'Anthony Melton,De'Anthony Melton,De'Anthony Melton,De'Anthony Melton,/players/m/meltode01.html,2018 (Pick 46),De'Anthony Melton
4034,Justin Jackson,Justin Jackson,Justin Jackson,Justin Jackson,Justin Jackson,/players/j/jacksju01.html,2017 (Pick 15),Justin Jackson
5079,Quinn Cook,Quinn Cook,Quinn Cook,Quinn Cook,Quinn Cook,/players/c/cookqu01.html,2015,Quinn Cook
3710,Alex Abrines,Alex Abrines,Alex Abrines,Alex Abrines,Alex Abrines,/players/a/abrinal01.html,2013 (Pick 32),Alex Abrines
5332,DeAndre' Bembry,DeAndre' Bembry,DeAndre' Bembry,DeAndre' Bembry,DeAndre' Bembry,/players/b/bembrde01.html,2016 (Pick 21),DeAndre' Bembry
3812,Boban Marjanovic,Boban Marjanovic,Boban Marjanovic,Boban Marjanovic,Boban Marjanovic,/players/m/marjabo01.html,,Boban Marjanovic
3109,Ekpe Udoh,Ekpe Udoh,Ekpe Udoh,Ekpe Udoh,Ekpe Udoh,/players/u/udohek01.html,2010 (Pick 6),Ekpe Udoh
5478,Davon Reed,Davon Reed,Davon Reed,Davon Reed,Davon Reed,/players/r/reedda01.html,2017 (Pick 32),Davon Reed
3505,John Henson,John Henson,John Henson,John Henson,John Henson,/players/h/hensojo01.html,2012 (Pick 14),John Henson
2842,Kosta Koufos,Kosta Koufos,Kosta Koufos,Kosta Koufos,Kosta Koufos,/players/k/koufoko01.html,2008 (Pick 23),Kosta Koufos
3381,Shelvin Mack,Shelvin Mack,Shelvin Mack,Shelvin Mack,Shelvin Mack,/players/m/macksh01.html,2011 (Pick 34),Shelvin Mack
3680,Tony Snell,Tony Snell,Tony Snell,Tony Snell,Tony Snell,/players/s/snellto01.html,2013 (Pick 20),Tony Snell
3353,Bismack Biyombo,Bismack Biyombo,Bismack Biyombo,Bismack Biyombo,Bismack Biyombo,/players/b/biyombi01.html,2011 (Pick 7),Bismack Biyombo
3669,Aron Baynes,Aron Baynes,Aron Baynes,Aron Baynes,Aron Baynes,/players/b/baynear01.html,,Aron Baynes
2313,Shaun Livingston,Shaun Livingston,Shaun Livingston,Shaun Livingston,Shaun Livingston,/players/l/livinsh01.html,2004 (Pick 4),Shaun Livingston
5105,Royce O'Neale,Royce O'Neale,Royce O'Neale,Royce O'Neale,Royce O'Neale,/players/o/onealro01.html,2015,Royce O'Neale
3532,Michael Kidd-Gilchrist,Michael Kidd-Gilchrist,Michael Kidd-Gilchrist,Michael Kidd-Gilchrist,Michael Kidd-Gilchrist,/players/k/kiddgmi01.html,2012 (Pick 2),Michael Kidd-Gilchrist
5363,Cheick Diallo,Cheick Diallo,Cheick Diallo,Cheick Diallo,Cheick Diallo,/players/d/diallch01.html,2016 (Pick 33),Cheick Diallo
5649,Maxi Kleber,Maxi Kleber,Maxi Kleber,Maxi Kleber,Maxi Kleber,/players/k/klebima01.html,2014,Maxi Kleber
3934,Doug McDermott,Doug McDermott,Doug McDermott,Doug McDermott,Doug McDermott,/players/m/mcderdo01.html,2014 (Pick 11),Doug McDermott
5510,Luke Kornet,Luke Kornet,Luke Kornet,Luke Kornet,Luke Kornet,/players/k/kornelu01.html,,Luke Kornet
